seat_allotment,Phase,constituency_no,constituency_name,district,candidate,party,Votes
INC,2.00,1.00,Behat,Saharanpur,NARESH SAINI,INC,97035.00
INC,2.00,1.00,Behat,Saharanpur,MAHAVEER SINGH RANA,BJP+,71449.00
INC,2.00,1.00,Behat,Saharanpur,MOHD. IQBAL,BSP,71019.00
INC,2.00,1.00,Behat,Saharanpur,RANA ADITYA PRATAP SINGH,Independent,4187.00
INC,2.00,1.00,Behat,Saharanpur,None of the Above,None of the Above,1576.00
INC,2.00,1.00,Behat,Saharanpur,KAMRAN ALI,others,1255.00
INC,2.00,1.00,Behat,Saharanpur,ARUN,RLD,1150.00
INC,2.00,1.00,Behat,Saharanpur,HARDHYAN,Independent,1113.00
INC,2.00,1.00,Behat,Saharanpur,GOPAL SINGH,Independent,945.00
INC,2.00,1.00,Behat,Saharanpur,KRISHNA KUMAR,Independent,810.00
INC,2.00,1.00,Behat,Saharanpur,KALYAN SINGH,Independent,659.00
INC,2.00,1.00,Behat,Saharanpur,LOKESH VERMA,others,617.00
INC,2.00,1.00,Behat,Saharanpur,SAKEEM KHAN,others,425.00
INC,2.00,1.00,Behat,Saharanpur,KARM SINGH,Independent,319.00
INC,2.00,2.00,Nakur,Saharanpur,DR.DHARAM SINGH SAINI,BJP+,94375.00
INC,2.00,2.00,Nakur,Saharanpur,IMRAN MASOOD,INC,90318.00
INC,2.00,2.00,Nakur,Saharanpur,NAVEEN CHOUDHARY,BSP,65328.00
INC,2.00,2.00,Nakur,Saharanpur,None of the Above,None of the Above,1232.00
INC,2.00,2.00,Nakur,Saharanpur,KAMAL GARG,Independent,944.00
INC,2.00,2.00,Nakur,Saharanpur,VIJAYPAL SINGH,Independent,814.00
INC,2.00,2.00,Nakur,Saharanpur,RAJPAL SINGH,Independent,813.00
INC,2.00,2.00,Nakur,Saharanpur,RAMKUMAR,RLD,783.00
INC,2.00,2.00,Nakur,Saharanpur,PARVESH KUMAR,others,295.00
INC,2.00,2.00,Nakur,Saharanpur,RAJIV SAINI,others,245.00
INC,2.00,2.00,Nakur,Saharanpur,INDU,Independent,245.00
INC,2.00,2.00,Nakur,Saharanpur,ARVIND,Independent,140.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,SANJAY GARG,SP,127210.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,RAJIV GUMBER,BJP+,122574.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,MUKESH DIXIT,BSP,17350.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,BHOORA MALIK,RLD,934.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,TALAT KHAN,others,693.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,None of the Above,None of the Above,675.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,SHABNAM,Independent,594.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,ZAINUL AABIDEEN SIDDIQUI,others,494.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,ROSHAN SINGH,Independent,409.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,BHARAT RAJ,others,386.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,SHIV KUMAR GUPTA,Independent,286.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,SHIV KUMAR,others,265.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,VINAY DHIMAN,others,255.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,RAVINDER ARORA,others,223.00
SP,2.00,3.00,Saharanpur Nagar,Saharanpur,MOHD.MURSLEEN,Independent,161.00
INC,2.00,4.00,Saharanpur,Saharanpur,MASOOD AKHTAR,INC,87689.00
INC,2.00,4.00,Saharanpur,Saharanpur,JAGPAL SINGH,BSP,75365.00
INC,2.00,4.00,Saharanpur,Saharanpur,MANOJ CHAUDHARY,BJP+,58752.00
INC,2.00,4.00,Saharanpur,Saharanpur,SAAD ALI KHAN,Independent,10950.00
INC,2.00,4.00,Saharanpur,Saharanpur,None of the Above,None of the Above,968.00
INC,2.00,4.00,Saharanpur,Saharanpur,AYYUB HASAN,RLD,822.00
INC,2.00,4.00,Saharanpur,Saharanpur,AMJAD ALI,others,774.00
INC,2.00,4.00,Saharanpur,Saharanpur,SHABNOOR BEGUM,Independent,596.00
INC,2.00,4.00,Saharanpur,Saharanpur,VIKRAM SAINI,Independent,399.00
INC,2.00,4.00,Saharanpur,Saharanpur,PARVESH KUMAR,Independent,376.00
INC,2.00,4.00,Saharanpur,Saharanpur,SULEMAN,others,256.00
INC,2.00,4.00,Saharanpur,Saharanpur,SACHIN KUMAR,others,220.00
INC,2.00,4.00,Saharanpur,Saharanpur,BABLU,others,155.00
INC,2.00,4.00,Saharanpur,Saharanpur,NAUSHAD,others,146.00
SP,2.00,5.00,Deoband,Saharanpur,BRIJESH,BJP+,102244.00
SP,2.00,5.00,Deoband,Saharanpur,MAJID ALI,BSP,72844.00
SP,2.00,5.00,Deoband,Saharanpur,MAVIA ALI,SP,55385.00
SP,2.00,5.00,Deoband,Saharanpur,BHUPESHWAR TYAGI,RLD,1132.00
SP,2.00,5.00,Deoband,Saharanpur,None of the Above,None of the Above,798.00
SP,2.00,5.00,Deoband,Saharanpur,DHARMAVIR,others,651.00
SP,2.00,5.00,Deoband,Saharanpur,RAKESH VERMA,others,598.00
SP,2.00,5.00,Deoband,Saharanpur,UMAR NAWAZ,Independent,415.00
SP,2.00,5.00,Deoband,Saharanpur,ZAHIR FATMA,Independent,239.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,DEVENDER KUMAR NIM,BJP+,76465.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,RAVINDRA KUMAR MOLHU,BSP,75870.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,VISHVA DAYAL CHHOTAN,INC,61787.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,None of the Above,None of the Above,856.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,DAYAWATI CHAUDHRY,RLD,696.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,BIJENDRA,Independent,689.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,REKHA,Independent,579.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,ARVIND JHANJHOT,others,523.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,SURESH KUMAR,others,475.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,ANJU BALA,others,391.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,BABY,others,256.00
INC,2.00,6.00,Rampur maniharan (SC),Saharanpur,KM.LATA,others,244.00
FF,2.00,7.00,Gangoh,Saharanpur,PRADEEP KUMAR,BJP+,99446.00
FF,2.00,7.00,Gangoh,Saharanpur,NAUMAN MASOOD,INC,61418.00
FF,2.00,7.00,Gangoh,Saharanpur,INDER SAIN,SP,47219.00
FF,2.00,7.00,Gangoh,Saharanpur,MAHIPAL SINGH MAJRA,BSP,44717.00
FF,2.00,7.00,Gangoh,Saharanpur,RAJNESH CHAUHAN,RLD,1054.00
FF,2.00,7.00,Gangoh,Saharanpur,None of the Above,None of the Above,971.00
FF,2.00,7.00,Gangoh,Saharanpur,YATENDERA,Independent,609.00
FF,2.00,7.00,Gangoh,Saharanpur,SATNAM SINGH,others,579.00
FF,2.00,7.00,Gangoh,Saharanpur,KAWAR PAL,Independent,526.00
FF,2.00,7.00,Gangoh,Saharanpur,VIKAS KUMAR,Independent,475.00
FF,2.00,7.00,Gangoh,Saharanpur,SONU VERMA,others,364.00
SP,1.00,8.00,Kairana,Shamli,NAHID HASAN,SP,98830.00
SP,1.00,8.00,Kairana,Shamli,MRIGANKA SINGH,BJP+,77668.00
SP,1.00,8.00,Kairana,Shamli,ANIL KUMAR,RLD,19992.00
SP,1.00,8.00,Kairana,Shamli,DIWAKAR DESHWAL,BSP,6888.00
SP,1.00,8.00,Kairana,Shamli,MASEEHULLA,others,1365.00
SP,1.00,8.00,Kairana,Shamli,SARFARAJ KHAN,others,1127.00
SP,1.00,8.00,Kairana,Shamli,None of the Above,None of the Above,1060.00
SP,1.00,8.00,Kairana,Shamli,SETHPAL,Independent,623.00
SP,1.00,8.00,Kairana,Shamli,DHARMVEER,Independent,545.00
SP,1.00,8.00,Kairana,Shamli,VINOD KUMAR,Independent,496.00
SP,1.00,8.00,Kairana,Shamli,SAHENDRA PAL,others,290.00
SP,1.00,8.00,Kairana,Shamli,SANDEEP,others,250.00
SP,1.00,9.00,Thana bhawan,Shamli,SURESH KUMAR,BJP+,90995.00
SP,1.00,9.00,Thana bhawan,Shamli,ABDUL WARIS KHAN,BSP,74178.00
SP,1.00,9.00,Thana bhawan,Shamli,JAVED RAO,RLD,31275.00
SP,1.00,9.00,Thana bhawan,Shamli,SUDHIR KUMAR,SP,13480.00
SP,1.00,9.00,Thana bhawan,Shamli,None of the Above,None of the Above,883.00
